fm,cohort,fl,fl_sd,central,central_sd,diff,lo,hi,t_lo,t_hi,n_patients,n_seed_pairs
UNI_v2,luad,0.9327868852459018,0.027886927600334444,0.9393442622950818,0.006734293739817627,-0.006557377049180335,-0.03526639344262295,0.015573770491803307,-0.0473629752733493,0.03424822117498863,244,5
UNI_v2,pda,0.6047337278106509,0.16785345929138776,0.6733727810650888,0.03704728010058821,-0.06863905325443789,-0.22724852071005924,0.053254437869822424,-0.2954856044261872,0.1582074979173114,169,5
Virchow2,luad,0.8827868852459018,0.01654641740834951,0.9442622950819672,0.01869140041146131,-0.061475409836065496,-0.09508196721311468,-0.03032786885245908,-0.08957915393894414,-0.03337166573318685,244,5
Virchow2,pda,0.6355029585798817,0.15847607659644244,0.6923076923076923,0.037188772455551876,-0.05680473372781063,-0.20121301775147926,0.05207100591715974,-0.24948998343521128,0.13588051597959006,169,5
Phikon_v2,luad,0.8762295081967213,0.043120519467418475,0.8975409836065573,0.01122382289969602,-0.02131147540983609,-0.060655737704918056,0.018872950819672114,-0.06688382778997869,0.024260876970306506,244,5
Phikon_v2,pda,0.9112426035502958,0.04467357654006366,0.872189349112426,0.030345281431853437,0.03905325443786982,-0.010650887573964485,0.09467455621301779,-0.02880331505543944,0.10690982393117908,169,5
Conch_v15,luad,0.889344262295082,0.017627715711152896,0.8967213114754099,0.004489529159878431,-0.007377049180327932,-0.030327868852458972,0.014754098360655776,-0.027859021267852616,0.01310492290719675,244,5
Conch_v15,pda,0.5502958579881657,0.14207345803009433,0.5431952662721894,0.03086012972876993,0.007100591715976312,-0.1207100591715976,0.11005917159763312,-0.15647814272427124,0.1706793261562239,169,5
CTransPath,luad,0.7688524590163934,0.12653916670140786,0.8581967213114755,0.03785163898038955,-0.089344262295082,-0.20327868852459008,0.015573770491803307,-0.20739973089525038,0.028711206305086376,244,5
CTransPath,pda,0.5857988165680472,0.27579931802180874,0.6579881656804735,0.019802604178321283,-0.07218934911242607,-0.32073964497041424,0.09585798816568047,-0.3992560566601022,0.25487735843525006,169,5
Midnight12k,luad,0.2868852459016392,0.01359272455063687,0.3721311475409836,0.05584909313478088,-0.0852459016393443,-0.14018442622950822,-0.02786885245901638,-0.1532721529139796,-0.017219650364708988,244,5
Midnight12k,pda,0.3727810650887574,0.05292468585798319,0.27692307692307694,0.07395266177499643,0.0958579881656805,0.010650887573964485,0.18106508875739646,-0.0006945184809960953,0.1924104948123571,169,5
ResNet50,luad,0.26147540983606554,0.19576698163675837,0.6942622950819672,0.047671527946214216,-0.4327868852459016,-0.5983606557377049,-0.25983606557377054,-0.6448312060942795,-0.22074256439752368,244,5
ResNet50,pda,0.13372781065088754,0.1282536700699771,0.3550295857988165,0.05072907751326108,-0.221301775147929,-0.3420414201183432,-0.09819526627218952,-0.3374235329639443,-0.10518001733191373,169,5
